local_hour,FSA,Total
0,4.624439008889166e-06,4.624439008889166e-06
1,6.888223236120862e-06,6.888223236120862e-06
2,-2.3466943119364582e-05,-2.3466943119364582e-05
3,-0.0001712691157446,-0.0001712691157446
4,-0.0018953783144119,-0.0018953783144119
5,-0.0090070697507541,-0.0090070697507541
6,-0.0047811306442457,-0.0047811306442457
7,0.0007372035223531,0.0007372035223531
8,-0.0024547183793241,-0.0024547183793241
9,0.0044869057110828,0.0044869057110828
10,0.0001597984396535,0.0001597984396535
11,0.0005758685893792,0.0005758685893792
12,0.0022348935960369,0.0022348935960369
13,0.0036312276127141,0.0036312276127141
14,0.0018341952395186,0.0018341952395186
15,0.0020335928907564,0.0020335928907564
16,0.0020250972479669,0.0020250972479669
17,-0.000384350461613,-0.000384350461613
18,-0.0019704471025993,-0.0019704471025993
19,0.0018569378566709,0.0018569378566709
20,0.0030086587909087,0.0030086587909087
21,-0.0003513196829213,-0.0003513196829213
22,-7.652983938760327e-05,-7.652983938760327e-05
23,-9.727505110272853e-06,-9.727505110272853e-06
