local_hour,HEAT_FROM_AC,Total
0,-6.941833539944303e-05,-6.941833539944303e-05
1,3.512180624562437e-05,3.512180624562437e-05
2,1.8832072044394212e-05,1.8832072044394212e-05
3,2.6156590456754947e-05,2.6156590456754947e-05
4,-3.586058135752813e-06,-3.586058135752813e-06
5,0.0001279754356767,0.0001279754356767
6,-0.0001939369429947,-0.0001939369429947
7,-0.0001825680224759,-0.0001825680224759
8,-0.0003195700630239,-0.0003195700630239
9,-0.0001116970048065,-0.0001116970048065
10,3.421693042350149e-05,3.421693042350149e-05
11,-5.064057692982052e-05,-5.064057692982052e-05
12,7.547385282090352e-05,7.547385282090352e-05
13,0.0001616197284599,0.0001616197284599
14,0.0001162341738752,0.0001162341738752
15,8.279157069053563e-05,8.279157069053563e-05
16,0.0001179363706283,0.0001179363706283
17,1.251393259519915e-05,1.251393259519915e-05
18,-0.000116806193907,-0.000116806193907
19,-0.0003850606351914,-0.0003850606351914
20,-8.691755914773321e-05,-8.691755914773321e-05
21,1.2849212943785474e-05,1.2849212943785474e-05
22,0.0001205441214284,0.0001205441214284
23,1.3795451276907328e-05,1.3795451276907328e-05
