local_hour,Q2M,Total
0,-0.0013471650040166,-0.0013471650040166
1,-0.0007663322236761,-0.0007663322236761
2,-0.0001735143042427,-0.0001735143042427
3,0.0005183716054069,0.0005183716054069
4,0.0007545012206942,0.0007545012206942
5,-0.0013950188020063,-0.0013950188020063
6,0.0064937138256143,0.0064937138256143
7,0.0375431977771712,0.0375431977771712
8,0.0422008610693819,0.0422008610693819
9,0.0368368499000201,0.0368368499000201
10,0.0289612562588936,0.0289612562588936
11,0.0222619414168534,0.0222619414168534
12,0.0131661703423348,0.0131661703423348
13,0.0057842943213465,0.0057842943213465
14,0.0007344275822656,0.0007344275822656
15,-0.000110184929482,-0.000110184929482
16,0.0011860476848565,0.0011860476848565
17,0.0022110919994037,0.0022110919994037
18,0.0053454877942786,0.0053454877942786
19,-0.0005632376126788,-0.0005632376126788
20,-0.0041737982075455,-0.0041737982075455
21,-0.0024346057319473,-0.0024346057319473
22,-0.0022290372575365,-0.0022290372575365
23,-0.0016865704750299,-0.0016865704750299
